time_step,state,pattern,status,mapped_to,distance,probability,confidence,confidence_label,decision
6,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
7,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
8,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
9,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
10,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
11,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
12,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
13,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
14,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
15,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
16,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
17,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
18,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
19,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
20,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
21,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
22,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
23,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
24,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
25,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
26,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
27,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
28,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
29,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
30,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
31,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
32,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
33,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
34,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
35,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
36,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
37,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
38,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
39,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
40,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
41,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
42,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
43,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
44,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
45,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
46,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
47,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
48,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
49,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
50,cccc,cccc,known,cccc,0,0.9675,0.9675,high,normal
1,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
2,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
3,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
4,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
5,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
6,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
7,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
8,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
9,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
10,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
11,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
12,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
13,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
14,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
15,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
16,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
17,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
18,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
19,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
20,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
21,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
22,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
23,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
24,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
25,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
26,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
27,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
28,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
29,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
30,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
31,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
32,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
33,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
34,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
35,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
36,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
37,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
38,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
39,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
40,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
41,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
42,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
43,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
44,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
45,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
46,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
47,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
48,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
49,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
50,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
1,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
2,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
3,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
4,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
5,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
6,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
7,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
8,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
9,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
10,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
11,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
12,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
13,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
14,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
15,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
16,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
17,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
18,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
19,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
20,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
21,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
22,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
23,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
24,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
25,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
26,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
27,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
28,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
29,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
30,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
31,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
32,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
33,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
34,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
35,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
36,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
37,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
38,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
39,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
40,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
41,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
42,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
43,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
44,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
45,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
46,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
47,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
48,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
49,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
50,cccc,cccc,known,cccc,0,0.9977,0.9977,high,normal
1,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
2,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
3,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
4,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
5,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
6,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
7,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
8,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
9,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
10,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
11,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
12,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
13,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
14,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
15,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
16,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
17,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
18,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
19,cccc,cccc,known,cccc,0,0.9812,0.9812,high,normal
